# source	target	note
加え	加へ	活用
加わ	加は	活用
問い	問ひ	活用
喩え	喩へ	活用
奪い	奪ひ	活用
從う	從ふ	活用
從え	從へ	活用
戰い	戰ひ	活用
扱う	扱ふ	活用
抑え	抑へ	活用
抗え	抗へ	活用
据え	据ゑ	活用
擔い	擔ひ	活用
擔う	擔ふ	活用
支え	支へ	活用
敎え	敎へ	活用
會う	會ふ	活用
用ひ	用ゐ	活用
疑わ	疑は	活用
答え	答へ	活用
終わ	終は	活用
考え	考へ	活用
與え	與へ	活用
行い	行ひ	活用
言い	言ひ	活用
閉ぢ	閉じ	活用
きょう	けふ	固定語彙
去つた	去った	活用
行ない	行なひ	活用
きのう	きのふ	固定語彙
という	といふ	固定連語
そういう	さういふ	固定連語
によつて	によって	固定連語
まつたく	まったく	固定語彙
ありがとう	ありがたう	定型句
ありがとうございます	ありがたうございます	定型句
