# source	target	kind	note
強欲	強慾	pending	文化廳「同音の漢字による書きかえ」
御者	馭者	pending	文化廳「同音の漢字による書きかえ」
快活	快濶	pending	文化廳「同音の漢字による書きかえ」
性欲	性慾	pending	文化廳「同音の漢字による書きかえ」
恩義	恩誼	pending	文化廳「同音の漢字による書きかえ」
情義	情誼	pending	文化廳「同音の漢字による書きかえ」
意向	意嚮	pending	文化廳「同音の漢字による書きかえ」
愛欲	愛慾	pending	文化廳「同音の漢字による書きかえ」
憶測	臆測	pending	文化廳「同音の漢字による書きかえ」
憶説	臆説	pending	文化廳「同音の漢字による書きかえ」
戒告	誡告	pending	文化廳「同音の漢字による書きかえ」
戦没	戦歿	pending	文化廳「同音の漢字による書きかえ」
扇動	煽動	pending	文化廳「同音の漢字による書きかえ」
扇情	煽情	pending	文化廳「同音の漢字による書きかえ」
手帳	手帖	pending	文化廳「同音の漢字による書きかえ」
手跡	手蹟	pending	文化廳「同音の漢字による書きかえ」
技量	技倆	pending	文化廳「同音の漢字による書きかえ」
抜粋	抜萃	pending	文化廳「同音の漢字による書きかえ」
掃滅	剿滅	pending	文化廳「同音の漢字による書きかえ」
掘削	掘鑿	pending	文化廳「同音の漢字による書きかえ」
控除	扣除	pending	文化廳「同音の漢字による書きかえ」
援護	掩護	pending	文化廳「同音の漢字による書きかえ」
摩滅	磨滅	pending	文化廳「同音の漢字による書きかえ」
放棄	抛棄	pending	文化廳「同音の漢字による書きかえ」
教戒	教誨	pending	文化廳「同音の漢字による書きかえ」
散布	撒布	pending	文化廳「同音の漢字による書きかえ」
散水	撒水	pending	文化廳「同音の漢字による書きかえ」
族生	簇生	pending	文化廳「同音の漢字による書きかえ」
日食	日蝕	pending	文化廳「同音の漢字による書きかえ」
旧跡	旧蹟	pending	文化廳「同音の漢字による書きかえ」
昇叙	陞叙	pending	文化廳「同音の漢字による書きかえ」
暖房	煖房	pending	文化廳「同音の漢字による書きかえ」
暖炉	煖炉	pending	文化廳「同音の漢字による書きかえ」
暗唱	暗誦	pending	文化廳「同音の漢字による書きかえ」
暗夜	闇夜	pending	文化廳「同音の漢字による書きかえ」
暗影	暗翳	pending	文化廳「同音の漢字による書きかえ」
暴露	曝露	pending	文化廳「同音の漢字による書きかえ」
更生	甦生	pending	文化廳「同音の漢字による書きかえ」
書簡	書翰	pending	文化廳「同音の漢字による書きかえ」
月食	月蝕	pending	文化廳「同音の漢字による書きかえ」
枯渇	涸渇	pending	文化廳「同音の漢字による書きかえ」
根底	根柢	pending	文化廳「同音の漢字による書きかえ」
格闘	挌闘	pending	文化廳「同音の漢字による書きかえ」
案分	按分	pending	文化廳「同音の漢字による書きかえ」
模索	摸索	pending	文化廳「同音の漢字による書きかえ」
機知	機智	pending	文化廳「同音の漢字による書きかえ」
死体	屍体	pending	文化廳「同音の漢字による書きかえ」
死没	死歿	pending	文化廳「同音の漢字による書きかえ」
気炎	気焔	pending	文化廳「同音の漢字による書きかえ」
決別	訣別	pending	文化廳「同音の漢字による書きかえ」
決壊	決潰	pending	文化廳「同音の漢字による書きかえ」
決起	蹶起	pending	文化廳「同音の漢字による書きかえ」
沈殿	沈澱	pending	文化廳「同音の漢字による書きかえ」
注文	註文	pending	文化廳「同音の漢字による書きかえ」
注解	註解	pending	文化廳「同音の漢字による書きかえ」
注釈	註釈	pending	文化廳「同音の漢字による書きかえ」
洗浄	洗滌	pending	文化廳「同音の漢字による書きかえ」
活発	活潑	pending	文化廳「同音の漢字による書きかえ」
浸透	滲透	pending	文化廳「同音の漢字による書きかえ」
浸食	浸蝕	pending	文化廳「同音の漢字による書きかえ」
